Models name,cosine,WER,CER
RCFv4_1692s1,0.34271924255007,67.3913043478261,22.552447552447553
RCFv4_1692s2,0.17370315955385102,61.82795698924731,21.066907775768534
RCFv4_1692s3,0.26086250454910004,67.12328767123287,22.553699284009546
llama3-1_1692_v1,0.47355027693837903,67.3913043478261,36.71328671328671
llama3-1_1692_v2,0.20459637614728202,55.913978494623656,30.018083182640144
llama3-1_1692_v3,0.366111521198206,70.54794520547945,45.94272076372315
RCFv4_1706s1,0.291286283172616,61.25,21.893491124260354
llama3-1_1706_v4,0.26009181262005404,50.0,30.17751479289941
llama3-1_1706_v4,0.24841075410909602,43.75,25.04930966469428
RCFv1_1700s1,0.20111922132496202,67.6056338028169,25.585480093676814
llama3-1_1700_v5,0.20298586715869602,73.94366197183099,43.266978922716625
RCFv4_1692s4,0.239083444325099,66.11570247933884,22.83044058744993
llama3-1_1692_v6,0.226062278777954,60.33057851239669,26.7022696929239
Mcfondue_1685,0.11191887133856,71.27152803224624,32.059790732436475
RCFv4_1685,0.049308092188486,53.79426644182125,17.883874718407093
llama3-1_1685_v5,0.045537172553089006,50.96964586846543,24.583969188285735
RCFv6_1688s1,0.15034747772935,56.043956043956044,18.853974121996302
llama3-1_1688,0.12276240012260702,49.45054945054945,26.18607516943931
